z Rivii,z Oz,z Mordoru,z Cimmerii
rach-ciach!,buch, buch!,z rur dwóch,bum w brzuch
Superman,Batman,Spider-Man,Captain America
świnka,rozpiór,krasnopiórka,kraska
Zorro,Legolas,Don Kichot,Longinus Podbipięta
Rudolph Valentino,Humphrey Bogart,Charlie Chaplin,Fred Astaire
Izokratesa,Cycerona,Demostenesa,Kwintyliana
Marcello Bacciarelli,Jan van Eyck,Diego Velázquez,Jacques-Louis David
wiśni,jabłoni,figi,gruszy
na kornecie,na akordeonie,na djembe,na ksylofonie
"Godzina myśli","W Szwajcarii","Anhelli","Arab"
długoszpar,kosogon,orka,wal grenlandzki
"Solaris","Opowieści o pilocie Pirxie","Dyktanda czyli…","Szpital Przemienienia"
rasy gołębi,rasy kur,chrząszcze,akrobacje na deskorolce
Rozum,Bóg,Miłość,Czas
Jacek Kuroń,Hanna Suchocka,Jarosław Kaczyński,Lech Kaczyński
Tamburyn,Kocioł,Okarynę,Czynele
owca,koń,człowiek,królki
czerwona,pomarańczowa,żółta,fioletowa
